Id,MSSubClass,LotFrontage,LotArea,Neighborhood,Condition1,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
19,20,66,13695,SawyerW,RRAe,1Fam,1Story,5,2004,2004,Gable,0,646,468,1114,GasA,Y,1114,0,1114,1,0,1,1,Gd,6,0,2,576,6,2008,WD,Normal,159000
20,20,70,7560,NAmes,Norm,1Fam,1Story,6,1958,1965,Hip,0,504,525,1029,GasA,Y,1339,0,1339,0,0,1,0,TA,6,0,1,294,5,2009,COD,Abnorml,139000
21,60,101,14215,NridgHt,Norm,1Fam,2Story,5,2005,2006,Gable,380,0,1158,1158,GasA,Y,1158,1218,2376,0,0,3,1,Gd,9,1,3,853,11,2006,New,Partial,325300
22,45,57,7449,IDOTRR,Norm,1Fam,1.5Unf,7,1930,1950,Gable,0,0,637,637,GasA,Y,1108,0,1108,0,0,1,0,Gd,6,1,1,280,6,2007,WD,Normal,139400
23,20,75,9742,CollgCr,Norm,1Fam,1Story,5,2002,2002,Hip,281,0,1777,1777,GasA,Y,1795,0,1795,0,0,2,0,Gd,7,1,2,534,9,2008,WD,Normal,230000
24,120,44,4224,MeadowV,Norm,TwnhsE,1Story,7,1976,1976,Gable,0,840,200,1040,GasA,Y,1060,0,1060,1,0,1,0,TA,6,1,2,572,6,2007,WD,Normal,129900
25,20,NA,8246,Sawyer,Norm,1Fam,1Story,8,1968,2001,Gable,0,188,204,1060,GasA,Y,1060,0,1060,1,0,1,0,Gd,6,1,1,270,5,2010,WD,Normal,154000
26,20,110,14230,NridgHt,Norm,1Fam,1Story,5,2007,2007,Gable,640,0,1566,1566,GasA,Y,1600,0,1600,0,0,2,0,Gd,7,1,3,890,7,2009,WD,Normal,256300
27,20,60,7200,NAmes,Norm,1Fam,1Story,7,1951,2000,Gable,0,234,180,900,GasA,Y,900,0,900,0,1,1,0,Gd,5,0,2,576,5,2010,WD,Normal,134800
28,20,98,11478,NridgHt,Norm,1Fam,1Story,5,2007,2008,Gable,200,1218,486,1704,GasA,Y,1704,0,1704,1,0,2,0,Gd,7,1,3,772,5,2010,WD,Normal,306000
29,20,47,16321,NAmes,Norm,1Fam,1Story,6,1957,1997,Gable,0,1277,207,1484,GasA,Y,1600,0,1600,1,0,1,0,TA,6,2,1,319,12,2006,WD,Normal,207500
30,30,60,6324,BrkSide,Feedr,1Fam,1Story,6,1927,1950,Gable,0,0,520,520,GasA,N,520,0,520,0,0,1,0,Fa,4,0,1,240,5,2008,WD,Normal,68500
31,70,50,8500,IDOTRR,Feedr,1Fam,2Story,4,1920,1950,Gambrel,0,0,649,649,GasA,N,649,668,1317,0,0,1,0,TA,6,0,1,250,7,2008,WD,Normal,40000
32,20,NA,8544,Sawyer,Norm,1Fam,1Story,6,1966,2006,Gable,0,0,1228,1228,GasA,Y,1228,0,1228,0,0,1,1,Gd,6,0,1,271,6,2008,WD,Normal,149350
33,20,85,11049,CollgCr,Norm,1Fam,1Story,5,2007,2007,Gable,0,0,1234,1234,GasA,Y,1234,0,1234,0,0,2,0,Gd,7,0,2,484,1,2008,WD,Normal,179900
34,20,70,10552,NAmes,Norm,1Fam,1Story,5,1959,1959,Hip,0,1018,380,1398,GasA,Y,1700,0,1700,0,1,1,1,Gd,6,1,2,447,4,2010,WD,Normal,165500
35,120,60,7313,NridgHt,Norm,TwnhsE,1Story,5,2005,2005,Hip,246,1153,408,1561,GasA,Y,1561,0,1561,1,0,2,0,Ex,6,1,2,556,8,2007,WD,Normal,277500
36,60,108,13418,NridgHt,Norm,1Fam,2Story,5,2004,2005,Gable,132,0,1117,1117,GasA,Y,1132,1320,2452,0,0,3,1,Gd,9,1,3,691,9,2006,WD,Normal,309000
37,20,112,10859,CollgCr,Norm,1Fam,1Story,5,1994,1995,Gable,0,0,1097,1097,GasA,Y,1097,0,1097,0,0,1,1,TA,6,0,2,672,6,2009,WD,Normal,145000
38,20,74,8532,NAmes,Norm,1Fam,1Story,6,1954,1990,Hip,650,1213,84,1297,GasA,Y,1297,0,1297,0,1,1,0,TA,5,1,2,498,10,2009,WD,Normal,153000
39,20,68,7922,NAmes,Norm,1Fam,1Story,7,1953,2007,Gable,0,731,326,1057,GasA,Y,1057,0,1057,1,0,1,0,Gd,5,0,1,246,1,2010,WD,Abnorml,109000
40,90,65,6040,Edwards,Norm,Duplex,1Story,5,1955,1955,Gable,0,0,0,0,GasA,N,1152,0,1152,0,0,2,0,Fa,6,0,0,0,6,2008,WD,AdjLand,82000
41,20,84,8658,NAmes,Norm,1Fam,1Story,5,1965,1965,Gable,101,643,445,1088,GasA,Y,1324,0,1324,0,0,2,0,TA,6,1,2,440,12,2006,WD,Abnorml,160000
42,20,115,16905,Timber,Norm,1Fam,1Story,6,1959,1959,Gable,0,967,383,1350,GasA,Y,1328,0,1328,0,1,1,1,TA,5,2,1,308,7,2007,WD,Normal,170000
43,85,NA,9180,SawyerW,Norm,1Fam,SFoyer,7,1983,1983,Gable,0,747,0,840,GasA,Y,884,0,884,1,0,1,0,Gd,5,0,2,504,12,2007,WD,Normal,144000
44,20,NA,9200,CollgCr,Norm,1Fam,1Story,6,1975,1980,Hip,0,280,167,938,GasA,Y,938,0,938,1,0,1,0,TA,5,0,1,308,7,2008,WD,Normal,130250
45,20,70,7945,NAmes,Norm,1Fam,1Story,6,1959,1959,Gable,0,179,465,1150,GasA,Y,1150,0,1150,1,0,1,0,TA,6,0,1,300,5,2006,WD,Normal,141000
46,120,61,7658,NridgHt,Norm,TwnhsE,1Story,5,2005,2005,Hip,412,456,1296,1752,GasA,Y,1752,0,1752,1,0,2,0,Ex,6,1,2,576,2,2010,WD,Normal,319900
47,50,48,12822,Mitchel,Norm,1Fam,1.5Fin,5,2003,2003,Gable,0,1351,83,1434,GasA,Y,1518,631,2149,1,0,1,1,Gd,6,1,2,670,8,2009,WD,Abnorml,239686
48,20,84,11096,Somerst,Norm,1Fam,1Story,5,2006,2006,Gable,0,24,1632,1656,GasA,Y,1656,0,1656,0,0,2,0,Gd,7,0,3,826,7,2007,WD,Normal,249700
49,190,33,4456,OldTown,Norm,2fmCon,2Story,5,1920,2008,Gable,0,0,736,736,GasA,Y,736,716,1452,0,0,2,0,TA,8,0,0,0,6,2009,New,Partial,113000
50,20,66,7742,Sawyer,Norm,1Fam,1Story,7,1966,1966,Gable,0,763,192,955,GasA,Y,955,0,955,1,0,1,0,TA,6,0,1,386,1,2007,WD,Normal,127000
51,60,NA,13869,Gilbert,Norm,1Fam,2Story,6,1997,1997,Gable,0,182,612,794,GasA,Y,794,676,1470,0,1,2,0,TA,6,0,2,388,7,2007,WD,Normal,177000
52,50,52,6240,BrkSide,Norm,1Fam,1.5Fin,6,1934,1950,Gable,0,0,816,816,GasA,Y,816,0,1176,0,0,1,0,TA,6,1,2,528,9,2006,WD,Normal,114500
53,90,110,8472,IDOTRR,RRNn,Duplex,1Story,5,1963,1963,Gable,0,104,0,816,GasA,N,816,0,816,1,0,1,0,TA,5,0,2,516,5,2010,WD,Normal,110000
54,20,68,50271,Veenker,Norm,1Fam,1Story,5,1981,1987,Gable,0,1810,32,1842,GasA,Y,1842,0,1842,2,0,0,1,Gd,5,1,3,894,11,2006,WD,Normal,385000
55,80,60,7134,NAmes,Norm,1Fam,SLvl,5,1955,1955,Gable,0,384,0,384,GasA,Y,1360,0,1360,0,0,1,0,TA,6,1,2,572,2,2007,WD,Normal,130000
56,20,100,10175,NAmes,Norm,1Fam,1Story,5,1964,1964,Gable,272,490,935,1425,GasA,Y,1425,0,1425,0,0,2,0,TA,7,1,2,576,7,2008,WD,Normal,180500
57,160,24,2645,Somerst,Norm,Twnhs,2Story,5,1999,2000,Gable,456,649,321,970,GasA,Y,983,756,1739,1,0,2,1,Gd,7,0,2,480,8,2009,WD,Abnorml,172500
58,60,89,11645,CollgCr,Norm,1Fam,2Story,5,2004,2004,Gable,0,0,860,860,GasA,Y,860,860,1720,0,0,2,1,Gd,7,0,2,565,8,2006,WD,Normal,196500
59,60,66,13682,StoneBr,Norm,1Fam,2Story,5,2006,2006,Hip,1031,0,1410,1410,GasA,Y,1426,1519,2945,0,0,3,1,Gd,10,1,3,641,10,2006,New,Partial,438780
60,20,60,7200,CollgCr,Norm,1Fam,1Story,7,1972,1972,Gable,0,632,148,780,GasA,Y,780,0,780,0,0,1,0,TA,4,0,1,352,1,2008,WD,Normal,124900
61,20,63,13072,SawyerW,RRAe,1Fam,1Story,5,2004,2004,Gable,0,941,217,1158,GasA,Y,1158,0,1158,1,0,1,1,Gd,5,0,2,576,5,2006,New,Partial,158000
62,75,60,7200,IDOTRR,Norm,1Fam,2.5Unf,7,1920,1996,Gable,0,0,530,530,GasA,N,581,530,1111,0,0,1,0,Fa,6,0,1,288,3,2007,WD,Normal,101000
63,120,44,6442,NridgHt,Norm,TwnhsE,1Story,5,2006,2006,Gable,178,24,1346,1370,GasA,Y,1370,0,1370,0,0,2,0,Gd,6,1,2,484,10,2007,WD,Normal,202500
64,70,50,10300,OldTown,RRAn,1Fam,2Story,6,1921,1950,Gable,0,0,576,576,GasA,Y,902,808,1710,0,0,2,0,TA,9,0,2,480,4,2010,WD,Normal,140000
65,60,NA,9375,CollgCr,Norm,1Fam,2Story,5,1997,1998,Gable,573,739,318,1057,GasA,Y,1057,977,2034,1,0,2,1,Gd,8,0,2,645,2,2009,WD,Normal,219500
66,60,76,9591,NridgHt,Norm,1Fam,2Story,5,2004,2005,Gable,344,0,1143,1143,GasA,Y,1143,1330,2473,0,0,2,1,Gd,9,1,3,852,10,2007,WD,Normal,317000
67,20,NA,19900,NAmes,PosA,1Fam,1Story,5,1970,1989,Gable,287,912,1035,1947,GasA,Y,2207,0,2207,1,0,2,0,TA,7,1,2,576,7,2010,WD,Normal,180000
68,20,72,10665,CollgCr,Norm,1Fam,1Story,5,2003,2003,Gable,167,1013,440,1453,GasA,Y,1479,0,1479,1,0,2,0,Gd,7,0,2,558,6,2007,WD,Normal,226000
69,30,47,4608,OldTown,Artery,1Fam,1Story,6,1945,1950,Gable,0,0,747,747,GasA,Y,747,0,747,0,0,1,0,TA,4,0,1,220,6,2010,WD,Normal,80000
70,50,81,15593,ClearCr,Norm,1Fam,1.5Fin,4,1953,1953,Gable,0,603,701,1304,GasW,Y,1304,983,2287,0,0,2,0,TA,7,1,2,667,7,2006,WD,Normal,225000
71,20,95,13651,NAmes,Norm,1Fam,1Story,6,1973,1973,Gable,1115,1880,343,2223,GasA,Y,2223,0,2223,1,0,2,0,TA,8,2,2,516,2,2007,WD,Normal,244000
72,20,69,7599,Mitchel,Norm,1Fam,1Story,6,1982,2006,Gable,0,565,280,845,GasA,Y,845,0,845,1,0,1,0,TA,4,0,2,360,6,2007,WD,Normal,129500
73,60,74,10141,Gilbert,Norm,1Fam,2Story,5,1998,1998,Gable,40,0,832,832,GasA,Y,885,833,1718,0,0,2,1,TA,7,1,2,427,12,2009,WD,Normal,185000
74,20,85,10200,NAmes,Norm,1Fam,1Story,7,1954,2003,Gable,104,320,404,1086,GasA,Y,1086,0,1086,1,0,1,0,TA,6,0,2,490,5,2010,WD,Normal,144900
75,50,60,5790,OldTown,Norm,1Fam,2Story,6,1915,1950,Gambrel,0,0,840,840,GasA,N,840,765,1605,0,0,2,0,TA,8,0,1,379,5,2010,WD,Normal,107400
76,180,21,1596,MeadowV,Norm,Twnhs,SLvl,5,1973,1973,Gable,0,462,0,462,GasA,Y,526,462,988,1,0,1,0,TA,5,0,1,297,11,2009,WD,Normal,91000
77,20,NA,8475,NAmes,Norm,1Fam,1Story,7,1956,1956,Gable,0,228,724,952,GasA,Y,952,0,952,0,0,1,0,TA,4,0,1,283,4,2008,WD,Normal,135750
78,50,50,8635,BrkSide,Norm,1Fam,1.5Fin,5,1948,2001,Gable,0,336,295,672,GasA,Y,1072,213,1285,1,0,1,0,TA,6,0,1,240,1,2008,WD,Normal,127000
79,90,72,10778,Sawyer,Norm,Duplex,1Story,5,1968,1968,Hip,0,0,1768,1768,GasA,N,1768,0,1768,0,0,2,0,TA,8,0,0,0,4,2010,WD,Normal,136500
80,50,60,10440,OldTown,Norm,1Fam,2Story,6,1910,1981,Gable,0,0,440,440,GasA,Y,682,548,1230,0,0,1,1,TA,5,0,2,440,5,2009,WD,Normal,110000
81,60,100,13000,NAmes,Norm,1Fam,2Story,6,1968,1968,Gable,576,448,448,896,GasA,Y,1182,960,2142,0,0,2,1,Gd,8,1,1,509,6,2009,WD,Normal,193500
82,120,32,4500,Mitchel,Norm,TwnhsE,1Story,5,1998,1998,Hip,443,1201,36,1237,GasA,Y,1337,0,1337,1,0,2,0,TA,5,0,2,405,3,2006,WD,Normal,153500
83,20,78,10206,Somerst,Norm,1Fam,1Story,5,2007,2007,Gable,468,33,1530,1563,GasA,Y,1563,0,1563,0,0,2,0,Gd,6,1,3,758,10,2008,WD,Normal,245000
84,20,80,8892,NAmes,Norm,1Fam,1Story,5,1960,1960,Gable,66,0,1065,1065,GasA,Y,1065,0,1065,0,0,1,1,TA,6,0,2,461,7,2007,COD,Normal,126500
85,80,NA,8530,Gilbert,Norm,1Fam,SLvl,5,1995,1996,Gable,22,0,384,384,GasA,Y,804,670,1474,0,0,2,1,TA,7,1,2,400,5,2009,WD,Normal,168500
86,60,121,16059,NoRidge,Norm,1Fam,2Story,5,1991,1992,Hip,284,0,1288,1288,GasA,Y,1301,1116,2417,0,0,2,1,Gd,9,1,2,462,4,2006,WD,Normal,260000
87,60,122,11911,Gilbert,Norm,1Fam,2Story,5,2005,2005,Gable,0,0,684,684,GasA,Y,684,876,1560,0,0,2,1,Gd,6,1,2,400,3,2009,WD,Normal,174000
88,160,40,3951,Somerst,Norm,TwnhsE,2Story,5,2009,2009,Gable,76,0,612,612,GasA,Y,612,612,1224,0,0,2,1,Gd,4,0,2,528,6,2009,New,Partial,164500
89,50,105,8470,IDOTRR,Feedr,1Fam,1.5Fin,2,1915,1982,Hip,0,0,1013,1013,GasA,N,1013,0,1526,0,0,1,0,Fa,6,0,0,0,10,2009,ConLD,Abnorml,85000
90,20,60,8070,CollgCr,Norm,1Fam,1Story,5,1994,1995,Gable,0,588,402,990,GasA,Y,990,0,990,1,0,1,0,TA,5,0,0,0,8,2007,WD,Normal,123600
91,20,60,7200,NAmes,Norm,1Fam,1Story,5,1950,1950,Gable,0,0,0,0,GasA,Y,1040,0,1040,0,0,1,0,TA,4,0,2,420,7,2006,WD,Normal,109900
92,20,85,8500,NAmes,Norm,1Fam,1Story,3,1961,1961,Hip,203,600,635,1235,GasA,Y,1235,0,1235,0,0,1,0,TA,6,0,2,480,12,2006,WD,Abnorml,98600
93,30,80,13360,Crawfor,Norm,1Fam,1Story,7,1921,2006,Gable,0,713,163,876,GasA,Y,964,0,964,1,0,1,0,TA,5,0,2,432,8,2009,WD,Normal,163500
94,190,60,7200,OldTown,Norm,2fmCon,2.5Unf,6,1910,1998,Hip,0,1046,168,1214,GasW,N,1260,1031,2291,0,1,2,0,TA,9,1,2,506,11,2007,WD,Normal,133900
95,60,69,9337,CollgCr,Norm,1Fam,2Story,5,1997,1997,Gable,0,648,176,824,GasA,Y,905,881,1786,1,0,2,1,Gd,7,0,2,684,5,2007,WD,Normal,204750
96,60,NA,9765,Gilbert,Norm,1Fam,2Story,8,1993,1993,Gable,68,310,370,680,GasA,Y,680,790,1470,0,0,2,1,TA,6,1,2,420,4,2009,WD,Normal,185000
97,20,78,10264,CollgCr,Norm,1Fam,1Story,5,1999,1999,Gable,183,1162,426,1588,GasA,Y,1588,0,1588,0,0,2,0,Gd,6,0,2,472,8,2006,WD,Normal,214000
98,20,73,10921,Edwards,Norm,1Fam,1Story,5,1965,1965,Hip,48,520,440,960,GasA,Y,960,0,960,1,0,1,0,TA,6,0,1,432,5,2007,WD,Normal,94750
99,30,85,10625,Edwards,Norm,1Fam,1Story,5,1920,1950,Gable,0,108,350,458,GasA,N,835,0,835,0,0,1,0,TA,5,0,1,366,5,2010,COD,Abnorml,83000
100,20,77,9320,NAmes,Norm,1Fam,1Story,5,1959,1959,Gable,0,569,381,950,GasA,Y,1225,0,1225,1,0,1,1,TA,6,0,0,0,1,2010,WD,Normal,128950
101,20,NA,10603,NWAmes,Norm,1Fam,1Story,7,1977,2001,Gable,28,1200,410,1610,GasA,Y,1610,0,1610,1,0,2,0,Gd,6,2,2,480,2,2010,WD,Normal,205000
102,60,77,9206,SawyerW,Norm,1Fam,2Story,5,1985,1985,Gable,336,0,741,741,GasA,Y,977,755,1732,0,0,2,1,Gd,7,1,2,476,6,2010,WD,Normal,178000
103,90,64,7018,SawyerW,Norm,Duplex,1Story,5,1979,1979,Gable,0,0,0,0,GasA,Y,1535,0,1535,0,0,2,0,TA,8,0,2,410,6,2009,WD,Alloca,118964
104,20,94,10402,CollgCr,Norm,1Fam,1Story,5,2009,2009,Gable,0,0,1226,1226,GasA,Y,1226,0,1226,0,0,2,0,Gd,6,0,3,740,5,2010,WD,Normal,198900
105,50,NA,7758,IDOTRR,Norm,1Fam,1.5Fin,4,1931,1950,Gable,600,224,816,1040,GasA,Y,1226,592,1818,0,0,1,1,TA,7,2,1,240,6,2007,WD,Normal,169500
106,60,75,9375,Somerst,Norm,1Fam,2Story,5,2003,2004,Hip,768,0,1053,1053,GasA,Y,1053,939,1992,0,0,2,1,Gd,9,1,2,648,8,2008,WD,Normal,250000
107,30,60,10800,OldTown,Norm,1Fam,1Story,7,1885,1995,Mansard,0,0,641,641,GasA,Y,1047,0,1047,0,0,1,0,TA,6,0,1,273,8,2007,WD,Normal,100000
108,20,50,6000,OldTown,Norm,1Fam,1Story,5,1948,1950,Gable,0,104,516,789,GasA,Y,789,0,789,0,0,1,0,TA,5,0,1,250,4,2008,WD,Partial,115000
109,50,85,8500,IDOTRR,Artery,1Fam,1.5Fin,7,1919,2005,Gable,0,0,793,793,GasW,N,997,520,1517,0,0,2,0,Fa,7,0,0,0,8,2007,WD,Normal,115000
110,20,105,11751,NWAmes,Norm,1Fam,1Story,6,1977,1977,Hip,480,705,1139,1844,GasA,Y,1844,0,1844,0,0,2,0,TA,7,1,2,546,1,2010,COD,Normal,190000
111,50,75,9525,Edwards,Norm,1Fam,1.5Fin,4,1954,1972,Gable,0,444,550,994,GasA,Y,1216,639,1855,0,0,2,0,TA,7,0,1,325,10,2006,WD,Normal,136900
112,80,NA,7750,Gilbert,Norm,1Fam,SLvl,5,2000,2000,Gable,0,250,134,384,GasA,Y,774,656,1430,0,0,2,1,TA,7,1,2,400,4,2010,WD,Normal,180000
113,60,77,9965,CollgCr,Norm,1Fam,2Story,5,2007,2007,Gable,220,984,280,1264,GasA,Y,1282,1414,2696,1,0,2,1,Ex,10,1,3,792,10,2007,New,Partial,383970
114,20,NA,21000,Crawfor,Norm,1Fam,1Story,5,1953,1953,Hip,184,35,905,1809,GasA,Y,2259,0,2259,1,0,2,0,Gd,7,2,2,450,10,2007,COD,Abnorml,217000
115,70,61,7259,Crawfor,Norm,1Fam,2Story,8,1945,2002,Gambrel,0,774,104,1028,GasA,Y,1436,884,2320,1,0,2,1,Gd,9,1,1,180,7,2007,WD,Normal,259500
116,160,34,3230,Somerst,Norm,TwnhsE,2Story,5,1999,1999,Gable,1129,419,310,729,GasA,Y,729,729,1458,0,0,2,1,TA,5,1,2,440,6,2007,WD,Normal,176000
117,20,NA,11616,Sawyer,Norm,1Fam,1Story,5,1962,1962,Gable,116,170,252,1092,GasA,Y,1092,0,1092,0,1,1,0,TA,6,1,1,288,9,2009,WD,Normal,139000
118,20,74,8536,Edwards,Norm,1Fam,1Story,5,2006,2007,Gable,0,0,1125,1125,GasA,Y,1125,0,1125,0,0,1,1,TA,5,0,2,430,4,2007,New,Partial,155000
119,60,90,12376,SawyerW,Norm,1Fam,2Story,5,1990,1990,Hip,0,1470,203,1673,GasA,Y,1699,1523,3222,1,0,3,0,Gd,11,2,3,594,5,2010,WD,Normal,320000
120,60,65,8461,CollgCr,Norm,1Fam,2Story,5,2005,2006,Gable,0,0,728,728,GasA,Y,728,728,1456,0,0,2,1,Gd,8,1,2,390,7,2006,New,Partial,163990
121,80,NA,21453,ClearCr,Norm,1Fam,SLvl,5,1969,1969,Flat,0,938,0,938,GasA,Y,988,0,988,1,0,1,0,TA,4,2,2,540,10,2006,WD,Normal,180000
122,50,50,6060,IDOTRR,Norm,1Fam,1.5Fin,5,1939,1950,Gable,0,0,732,732,GasA,Y,772,351,1123,0,0,1,0,TA,4,0,1,264,6,2007,WD,Normal,100000
123,20,75,9464,NAmes,Norm,1Fam,1Story,7,1958,1958,Hip,135,570,510,1080,GasA,Y,1080,0,1080,0,0,1,0,TA,5,0,1,288,6,2008,WD,Normal,136000
124,120,55,7892,SawyerW,Norm,TwnhsE,1Story,5,1993,1993,Gable,0,300,899,1199,GasA,Y,1199,0,1199,0,0,2,0,Gd,5,0,2,530,3,2008,WD,Normal,153900
125,20,48,17043,NWAmes,Norm,1Fam,1Story,5,1979,1998,Gable,0,0,1362,1362,GasA,Y,1586,0,1586,0,0,2,0,TA,7,1,2,435,1,2009,WD,Normal,181000
126,190,60,6780,IDOTRR,Norm,2fmCon,1.5Fin,8,1935,1982,Gable,0,490,30,520,GasA,N,520,0,754,1,0,1,0,TA,5,0,0,0,6,2006,WD,Normal,84500
127,120,NA,4928,NPkVill,Norm,TwnhsE,1Story,5,1976,1976,Gable,0,120,958,1078,GasA,Y,958,0,958,0,0,2,0,TA,5,1,2,440,2,2007,WD,Normal,128000
128,45,55,4388,OldTown,Feedr,1Fam,1.5Unf,7,1930,1950,Gable,0,116,556,672,GasA,Y,840,0,840,0,0,1,0,TA,5,1,0,0,6,2007,WD,Normal,87000
129,60,69,7590,NAmes,PosN,1Fam,2Story,5,1966,1966,Gable,266,512,148,660,GasA,Y,660,688,1348,0,0,1,1,TA,6,1,2,453,7,2006,WD,Normal,155000
130,20,69,8973,NAmes,Norm,1Fam,1Story,7,1958,1991,Gable,85,567,413,1008,GasA,Y,1053,0,1053,0,1,1,1,Ex,6,0,2,750,7,2006,WD,Abnorml,150000
131,60,88,14200,NAmes,Norm,1Fam,2Story,6,1966,1966,Gable,309,445,479,924,GasA,Y,1216,941,2157,0,0,2,1,Gd,8,2,2,487,5,2006,WD,Normal,226000
132,60,NA,12224,Gilbert,Norm,1Fam,2Story,5,2000,2000,Gable,40,695,297,992,GasA,Y,1022,1032,2054,1,0,2,1,Gd,7,1,2,390,7,2009,WD,Normal,244000
133,20,75,7388,NAmes,Norm,1Fam,1Story,6,1959,2002,Gable,0,405,658,1063,GasA,Y,1327,0,1327,1,0,1,0,Gd,7,0,2,624,7,2007,WD,Normal,150750
134,20,NA,6853,Timber,Norm,1Fam,1Story,5,2001,2002,Gable,136,1005,262,1267,GasA,Y,1296,0,1296,1,0,2,0,Gd,6,0,2,471,6,2009,WD,Normal,220000
135,20,78,10335,Sawyer,Norm,1Fam,1Story,6,1968,1993,Gable,0,570,891,1461,GasA,Y,1721,0,1721,0,0,2,1,TA,7,1,2,440,7,2006,WD,Normal,180000
136,20,80,10400,NWAmes,Norm,1Fam,1Story,6,1970,1970,Hip,288,0,1304,1304,GasA,Y,1682,0,1682,0,0,2,0,TA,7,1,2,530,5,2008,WD,Normal,174000
137,20,NA,10355,NAmes,Norm,1Fam,1Story,5,1967,1967,Gable,196,695,519,1214,GasA,Y,1214,0,1214,0,0,2,0,TA,5,1,1,318,7,2007,WD,Normal,143000
